PERIODO,MAT_CUR,CAMPUS_ALUMNO,BLOQUE,ID_ALUMNO,CALIFICACIONES_ALUMNO,CALIFICACIONES_EXIGIBLES,CALIFICACIONES_CURSO,RANGO_CALIFICACIONES,PORC_CALIFICACIONES_EXIGIBLES,PORC_CALIFICACIONES_REALIZADAS,ULTIMA_ENTREGA_ALUMNO,ULTIMA_CALIFICACION_CURSO,ASISTENCIA,HRS_ACCESO,DIAS_ACCESO,PRIMER_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_PERIODO,ULTIMO_ACCESO_CURSO,INICIO_CURSO,FIN_CURSO,NRC,LC,ID_INST
202120,AMOD-609,CFP TUMBES,01AMODE601,1233164,12,1,12, 01 -  20,1,1,12/03/2021,12/09/2021,0.35,134.4,5,8/19/2021,11/30/2021,11/30/2021,11/30/2021,7/20/2021,12/10/2021,25890,,2725
202120,ACCU-201,CFP TUMBES,01AMODFB01,1364792,9,1,9, 00 -  20,1,1,12/02/2021,12/09/2021,0.29,100,8,7/26/2021,12/02/2021,12/08/2021,12/02/2021,7/20/2021,12/10/2021,25872,,2725
202120,NCCU-206,CFP TUMBES,01NAEDE201,1367022,9,1,9, 16 -  20,1,1,12/01/2021,12/09/2021,0.94,63.1,16,7/20/2021,12/01/2021,12/08/2021,12/01/2021,7/20/2021,12/10/2021,24863,,1069411
202120,NCCU-206,CFP TUMBES,01NAEDE201,1328032,9,1,9, 15 -  20,1,1,12/01/2021,12/09/2021,0.97,63,32,7/21/2021,12/01/2021,12/08/2021,12/01/2021,7/20/2021,12/10/2021,24863,,1069411
202120,AMOD-609,CFP TUMBES,01AMODE601,1224421,12,1,12, 04 -  20,1,1,12/01/2021,12/09/2021,0.93,39.5,12,8/20/2021,12/02/2021,12/02/2021,12/02/2021,7/20/2021,12/10/2021,25890,,2725
202120,NCCU-206,CFP TUMBES,01NAEDE201,1364657,9,1,9, 16 -  20,1,1,12/01/2021,12/09/2021,0.94,28.3,28,8/03/2021,12/01/2021,12/08/2021,12/01/2021,7/20/2021,12/10/2021,24863,,1069411
202120,AMOD-608,CFP TUMBES,01AMODE601,1222181,11,1,11, 06 -  20,1,1,12/01/2021,12/09/2021,0.77,21.5,18,8/27/2021,12/01/2021,12/01/2021,12/01/2021,7/20/2021,12/10/2021,25889,,2725
202120,NCCU-206,CFP TUMBES,01NAEDE201,1363696,9,1,9, 12 -  20,1,1,12/01/2021,12/09/2021,0.84,16.9,27,7/21/2021,12/02/2021,12/08/2021,12/02/2021,7/20/2021,12/10/2021,24863,,1069411
202120,AMOD-608,CFP TUMBES,01AMODE601,1224421,11,1,11, 09 -  20,1,1,12/04/2021,12/09/2021,0.93,12.4,10,8/20/2021,12/02/2021,12/02/2021,12/02/2021,7/20/2021,12/10/2021,25889,,2725
202120,AMOD-609,CFP TUMBES,01AMODE601,1225135,12,1,12, 00 -  20,1,1,12/02/2021,12/09/2021,0.09,11.6,15,8/17/2021,12/02/2021,12/02/2021,12/02/2021,7/20/2021,12/10/2021,25890,,2725
202120,AMOD-609,CFP TUMBES,01AMODE601,1222181,12,1,12, 00 -  20,1,1,12/01/2021,12/09/2021,0.46,11.3,17,7/30/2021,12/01/2021,12/01/2021,12/01/2021,7/20/2021,12/10/2021,25890,,2725
202120,ACCU-201,CFP TUMBES,01AMODFB01,1330008,9,1,9, 14 -  20,1,1,12/03/2021,12/09/2021,0.44,10.3,17,8/23/2021,12/08/2021,12/08/2021,12/08/2021,7/20/2021,12/10/2021,25872,,2725
202120,AMOD-608,CFP TUMBES,01AMODE601,1224418,11,1,11, 08 -  20,1,1,12/02/2021,12/09/2021,0.64,9.1,31,7/28/2021,12/05/2021,12/05/2021,12/05/2021,7/20/2021,12/10/2021,25889,,2725
202120,ECCU-204,CFP TUMBES,01EEIDFB01,1357419,10,1,10, 14 -  20,1,1,12/05/2021,12/09/2021,0.75,8.3,16,7/26/2021,12/05/2021,12/05/2021,12/05/2021,7/20/2021,12/10/2021,25378,,1073628
202120,AMOD-609,CFP TUMBES,01AMODE601,1224418,12,1,12, 02 -  20,1,1,12/02/2021,12/09/2021,0.46,8.3,34,7/28/2021,12/05/2021,12/05/2021,12/05/2021,7/20/2021,12/10/2021,25890,,2725
202120,AMOD-609,CFP TUMBES,01AMODE601,1235707,12,1,12, 03 -  20,1,1,12/01/2021,12/09/2021,0.41,8,27,8/11/2021,12/01/2021,12/01/2021,12/01/2021,7/20/2021,12/10/2021,25890,,2725
202120,AMOD-609,CFP TUMBES,01AMODE601,1234520,12,1,12, 01 -  20,1,1,12/02/2021,12/09/2021,0.85,7.6,21,8/05/2021,12/02/2021,12/02/2021,12/02/2021,7/20/2021,12/10/2021,25890,,2725
202120,NCCU-206,CFP TUMBES,01NAEDE201,1363201,9,1,9, 12 -  20,1,1,12/01/2021,12/09/2021,0.88,7.4,13,10/14/2021,12/05/2021,12/08/2021,12/05/2021,7/20/2021,12/10/2021,24863,,1069411
202120,NCCU-206,CFP TUMBES,01NAEDE201,1309589,9,1,9, 01 -  20,1,1,12/03/2021,12/09/2021,0.88,7.1,12,7/26/2021,12/08/2021,12/08/2021,12/08/2021,7/20/2021,12/10/2021,24863,,1069411
202120,AMOD-608,CFP TUMBES,01AMODE601,1235707,11,1,11, 08 -  20,1,1,12/01/2021,12/09/2021,0.33,6,18,8/11/2021,12/01/2021,12/01/2021,12/01/2021,7/20/2021,12/10/2021,25889,,2725
202120,AMOD-608,CFP TUMBES,01AMODE601,1225135,11,1,11, 00 -  20,1,1,12/02/2021,12/09/2021,0.08,5.4,12,8/17/2021,12/02/2021,12/02/2021,12/02/2021,7/20/2021,12/10/2021,25889,,2725
202120,ACCU-201,CFP TUMBES,01AMODFB01,1289067,9,1,9, 00 -  20,1,1,12/03/2021,12/09/2021,0,4.4,10,8/31/2021,12/08/2021,12/08/2021,12/08/2021,7/20/2021,12/10/2021,25872,,2725
202120,AMOD-608,CFP TUMBES,01AMODE601,1233164,11,1,11, 08 -  20,1,1,12/03/2021,12/09/2021,0.4,0.6,2,8/19/2021,10/01/2021,11/30/2021,10/01/2021,7/20/2021,12/10/2021,25889,,2725
202120,NCCU-206,CFP TUMBES,01NAEDE201,1364785,9,1,9, 15 -  20,1,1,12/02/2021,12/09/2021,0.94,38.5,38,7/21/2021,12/08/2021,12/09/2021,12/08/2021,7/20/2021,12/10/2021,24863,,1069411
202120,NCCU-206,CFP TUMBES,01NAEDE201,1368971,9,1,9, 14 -  20,1,1,12/03/2021,12/09/2021,0.85,13.8,35,8/09/2021,12/06/2021,12/09/2021,12/06/2021,7/20/2021,12/10/2021,24863,,1069411
202120,ACCU-201,CFP TUMBES,01AMODFB01,1363588,9,1,9, 12 -  20,1,1,12/04/2021,12/09/2021,0.56,6.1,16,8/16/2021,12/07/2021,12/09/2021,12/07/2021,7/20/2021,12/10/2021,25872,,2725
202120,ACCU-201,CFP TUMBES,01AMODFB01,1305147,9,1,9, 13 -  20,1,1,12/02/2021,12/09/2021,0.89,1.8,20,7/26/2021,12/08/2021,12/09/2021,12/08/2021,7/20/2021,12/10/2021,25872,,2725
202120,AMOD-608,CFP TUMBES,01AMODE601,1139961,11,1,11, 14 -  20,1,1,12/04/2021,12/09/2021,0.9,32.8,23,8/06/2021,12/09/2021,12/09/2021,12/09/2021,7/20/2021,12/10/2021,25889,,2725
202120,NCCU-206,CFP TUMBES,01NAEDE201,1370458,9,1,9, 01 -  20,1,1,12/08/2021,12/09/2021,0.44,29.8,8,8/31/2021,12/09/2021,12/09/2021,12/09/2021,7/20/2021,12/10/2021,24863,,1069411
202120,AMOD-609,CFP TUMBES,01AMODE601,1139961,12,1,12, 09 -  20,1,1,12/04/2021,12/09/2021,0.85,28.7,27,7/30/2021,12/09/2021,12/09/2021,12/09/2021,7/20/2021,12/10/2021,25890,,2725
202120,AMOD-609,CFP TUMBES,01AMODE601,1231353,12,1,12, 04 -  20,1,1,12/09/2021,12/09/2021,0.54,23.4,42,7/27/2021,12/09/2021,12/09/2021,12/09/2021,7/20/2021,12/10/2021,25890,,2725
202120,AMOD-608,CFP TUMBES,01AMODE601,1231353,11,1,11, 05 -  20,1,1,12/09/2021,12/09/2021,0.5,21.5,36,7/28/2021,12/09/2021,12/09/2021,12/09/2021,7/20/2021,12/10/2021,25889,,2725
202120,NCCU-206,CFP TUMBES,01NAEDE201,1364787,9,1,9, 13 -  20,1,1,12/02/2021,12/09/2021,0.56,15,27,8/18/2021,12/09/2021,12/09/2021,12/09/2021,7/20/2021,12/10/2021,24863,,1069411
202120,ACCU-201,CFP TUMBES,01AMODFB01,1300824,9,1,9, 12 -  20,1,1,12/09/2021,12/09/2021,0.96,12.5,50,7/26/2021,12/09/2021,12/09/2021,12/09/2021,7/20/2021,12/10/2021,25872,,2725
202120,ACCU-201,CFP TUMBES,01AMODFB01,1364756,9,1,9, 14 -  20,1,1,12/04/2021,12/09/2021,0.82,11.2,16,8/23/2021,12/09/2021,12/09/2021,12/09/2021,7/20/2021,12/10/2021,25872,,2725
202120,NCCU-206,CFP TUMBES,01NAEDE201,1371348,9,1,9, 11 -  20,1,1,12/09/2021,12/09/2021,0.41,6.1,9,10/06/2021,12/09/2021,12/09/2021,12/09/2021,7/20/2021,12/10/2021,24863,,1069411
202120,NCCU-206,CFP TUMBES,01NAEDE202,1369885,9,1,9, 01 -  20,1,1,12/06/2021,12/08/2021,0.79,36.3,33,8/04/2021,12/08/2021,12/09/2021,12/08/2021,7/20/2021,12/10/2021,24876,,1069411
202120,NCCU-206,CFP TUMBES,01NAEDE202,1353718,9,1,9, 15 -  20,1,1,12/03/2021,12/08/2021,0.86,23.7,29,8/04/2021,12/09/2021,12/09/2021,12/09/2021,7/20/2021,12/10/2021,24876,,1069411
202120,NCCU-206,CFP TUMBES,01NAEDE202,1365815,9,1,9, 01 -  20,1,1,12/05/2021,12/08/2021,0.57,21.1,21,8/11/2021,12/05/2021,12/05/2021,12/05/2021,7/20/2021,12/10/2021,24876,,1069411
202120,NCCU-206,CFP TUMBES,01NAEDE202,1367768,9,1,9, 14 -  20,1,1,12/08/2021,12/08/2021,0.94,14.8,24,8/04/2021,12/08/2021,12/08/2021,12/08/2021,7/20/2021,12/10/2021,24876,,1069411
202120,NCCU-206,CFP TUMBES,01NAEDE202,1370416,9,1,9, 10 -  20,1,1,12/03/2021,12/08/2021,0.91,10.8,36,8/03/2021,12/08/2021,12/08/2021,12/08/2021,7/20/2021,12/10/2021,24876,,1069411
